TIMESTAMP,FORECAST
20131101 01:00,0.26986253
20131101 02:00,0.15431559
20131101 03:00,0.049460538
20131101 04:00,0.04562208
20131101 05:00,0.04202375
20131101 06:00,0.08981766
20131101 07:00,0.21134281
20131101 08:00,0.39054143
20131101 09:00,0.20452875
20131101 10:00,0.062236585
20131101 11:00,-0.0040794685
20131101 12:00,0.04161635
20131101 13:00,0.027203336
20131101 14:00,0.022195213
20131101 15:00,0.060297433
20131101 16:00,0.022031166
20131101 17:00,0.008066028
20131101 18:00,0.014423989
20131101 19:00,0.011323057
20131101 20:00,0.0116092935
20131101 21:00,0.062190663
20131101 22:00,0.35231835
20131101 23:00,0.5142083
20131102 00:00,0.48054802
20131102 01:00,0.317956
20131102 02:00,0.3183989
20131102 03:00,0.45832753
20131102 04:00,0.3358276
20131102 05:00,0.7569464
20131102 06:00,0.680998
20131102 07:00,0.7017655
20131102 08:00,0.55654913
20131102 09:00,0.8013603
20131102 10:00,0.7244174
20131102 11:00,0.5616778
20131102 12:00,0.5106016
20131102 13:00,0.49595925
20131102 14:00,0.2822241
20131102 15:00,0.42014158
20131102 16:00,0.14740321
20131102 17:00,0.5403017
20131102 18:00,0.39861596
20131102 19:00,0.5906883
20131102 20:00,0.411761
20131102 21:00,0.44741473
20131102 22:00,0.47829986
20131102 23:00,0.16709816
20131103 00:00,0.3087349
20131103 01:00,0.24043137
20131103 02:00,0.38375863
20131103 03:00,0.21136296
20131103 04:00,0.20903403
20131103 05:00,0.31273967
20131103 06:00,0.3056663
20131103 07:00,0.30760494
20131103 08:00,0.50782293
20131103 09:00,0.48919016
20131103 10:00,0.2494855
20131103 11:00,0.2803195
20131103 12:00,0.6483486
20131103 13:00,0.79945433
20131103 14:00,0.85771906
20131103 15:00,0.8945231
20131103 16:00,0.9604431
20131103 17:00,0.9443354
20131103 18:00,0.92475784
20131103 19:00,0.91467994
20131103 20:00,0.9520784
20131103 21:00,0.82955587
20131103 22:00,0.8979012
20131103 23:00,0.92350394
20131104 00:00,0.9574841
20131104 01:00,0.9150608
20131104 02:00,0.9116541
20131104 03:00,0.79343706
20131104 04:00,0.48763067
20131104 05:00,0.25538605
20131104 06:00,0.31473154
20131104 07:00,0.32184872
20131104 08:00,0.37795055
20131104 09:00,0.32488385
20131104 10:00,0.4167036
20131104 11:00,0.5026761
20131104 12:00,0.7891939
20131104 13:00,0.94375736
20131104 14:00,0.90810376
20131104 15:00,0.9729549
20131104 16:00,0.9667643
20131104 17:00,0.9477182
20131104 18:00,0.9634186
20131104 19:00,0.97133
20131104 20:00,0.9562919
20131104 21:00,0.9329579
20131104 22:00,0.92028356
20131104 23:00,0.7777112
20131105 00:00,0.75576425
20131105 01:00,0.8341013
20131105 02:00,0.43443733
20131105 03:00,0.45269102
20131105 04:00,0.120617084
20131105 05:00,0.13501498
20131105 06:00,0.00788071
20131105 07:00,0.025030203
20131105 08:00,0.022825353
20131105 09:00,0.022942387
20131105 10:00,0.11600086
20131105 11:00,0.3488044
20131105 12:00,0.35087812
20131105 13:00,0.34036708
20131105 14:00,0.34127146
20131105 15:00,0.36460406
20131105 16:00,0.3204391
20131105 17:00,0.28758863
20131105 18:00,0.3697525
20131105 19:00,0.5349826
20131105 20:00,0.41378623
20131105 21:00,0.5287218
20131105 22:00,0.48763338
